ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
346,Shaza Yahia Nazih Abdulrahman El-Sayed,F,15.0,170.0,59.0,Egypt,EGY,2008 Summer,2008,Summer,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,
395,Jennifer Abel,F,16.0,160.0,62.0,Canada,CAN,2008 Summer,2008,Summer,Beijing,Diving,Diving Women's Springboard,
404,"Louis Grenville ""Lou"" Abell",M,15.0,,,Vesper Boat Club,USA,1900 Summer,1900,Summer,Paris,Rowing,Rowing Men's Coxed Eights,Gold
417,Sara Helena berg,F,17.0,190.0,73.0,Sweden,SWE,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 50 metres Freestyle,
424,Moira Abernethy (-Ford),F,17.0,,,South Africa,RSA,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
424,Moira Abernethy (-Ford),F,17.0,,,South Africa,RSA,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Women's 100 metres Backstroke,
459,Bukola Dammy Abogunloko,F,17.0,170.0,53.0,Nigeria,NGR,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 4 x 400 metres Relay,
463,Agnese boltia,F,17.0,166.0,60.0,Latvia,LAT,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Super G,
463,Agnese boltia,F,17.0,166.0,60.0,Latvia,LAT,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Giant Slalom,
463,Agnese boltia,F,17.0,166.0,60.0,Latvia,LAT,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Slalom,
509,Gary Abraham,M,17.0,175.0,64.0,Great Britain,GBR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 100 metres Backstroke,
509,Gary Abraham,M,17.0,175.0,64.0,Great Britain,GBR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
532,Iason Abramashvili,M,17.0,176.0,82.0,Georgia,GEO,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Giant Slalom,
532,Iason Abramashvili,M,17.0,176.0,82.0,Georgia,GEO,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Slalom,
534,Oleksandr Volodymyrovych Abramenko,M,17.0,180.0,82.0,Ukraine,UKR,2006 Winter,2006,Winter,Torino,Freestyle Skiing,Freestyle Skiing Men's Aerials,
537,Ek'aterina Abramia,F,16.0,167.0,43.0,Georgia,GEO,1996 Summer,1996,Summer,Atlanta,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,
559,Tsvetelina Abrasheva,F,16.0,,,Bulgaria,BUL,1994 Winter,1994,Winter,Lillehammer,Figure Skating,Figure Skating Women's Singles,
572,Rui Pinto de Abreu,M,15.0,177.0,64.0,Portugal,POR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 400 metres Freestyle,
572,Rui Pinto de Abreu,M,15.0,177.0,64.0,Portugal,POR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
598,Omar Abu-Fares,M,16.0,178.0,69.0,Jordan,JOR,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 200 metres Individual Medley,
604,"Folashade ""Shade"" Abugan",F,17.0,150.0,64.0,Nigeria,NGR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 400 metres,
604,"Folashade ""Shade"" Abugan",F,17.0,150.0,64.0,Nigeria,NGR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 4 x 400 metres Relay,
621,Anas Sameer N. H. Abuyousuf,M,14.0,181.0,77.0,Qatar,QAT,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 400 metres Freestyle,
627,Andreea Roxana Acatrinei,F,16.0,150.0,40.0,Romania,ROU,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,
627,Andreea Roxana Acatrinei,F,16.0,150.0,40.0,Romania,ROU,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Team All-Around,Bronze
627,Andreea Roxana Acatrinei,F,16.0,150.0,40.0,Romania,ROU,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Floor Exercise,
627,Andreea Roxana Acatrinei,F,16.0,150.0,40.0,Romania,ROU,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Balance Beam,
640,Carmen Acedo Jorge,F,17.0,,,Spain,ESP,1992 Summer,1992,Summer,Barcelona,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,
671,Ghassan Achi,M,16.0,168.0,60.0,Lebanon,LIB,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Giant Slalom,
671,Ghassan Achi,M,16.0,168.0,60.0,Lebanon,LIB,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Slalom,
685,Dallal Merwa Achour,F,17.0,176.0,45.0,Algeria,ALG,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,
725,Roslandy del Valle Acosta Alvarado,F,16.0,190.0,62.0,Venezuela,VEN,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,
733,Ilona cs (-Zimmermann),F,16.0,,,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Women's 100 metres Freestyle,
733,Ilona cs (-Zimmermann),F,16.0,,,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
765,Jean-Paul Adam,M,15.0,,,Seychelles,SEY,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 200 metres Freestyle,
765,Jean-Paul Adam,M,15.0,,,Seychelles,SEY,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 400 metres Freestyle,
765,Jean-Paul Adam,M,15.0,,,Seychelles,SEY,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 200 metres Individual Medley,
799,Nafissatou Moussa Adamou,F,14.0,172.0,72.0,Niger,NIG,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 50 metres Freestyle,
803,Anne Wilma Adams (-King),F,16.0,165.0,54.0,Great Britain,GBR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 200 metres Butterfly,
803,Anne Wilma Adams (-King),F,16.0,165.0,54.0,Great Britain,GBR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 400 metres Individual Medley,
825,Lynda Riley Adams (-Hunt),F,16.0,,,Canada,CAN,1936 Summer,1936,Summer,Berlin,Diving,Diving Women's Springboard,
825,Lynda Riley Adams (-Hunt),F,16.0,,,Canada,CAN,1936 Summer,1936,Summer,Berlin,Diving,Diving Women's Platform,
839,Robert P. Adams,M,17.0,188.0,85.0,Canada,CAN,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxless Fours,
882,Simon Addo,M,17.0,180.0,79.0,Ghana,GHA,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Bronze
903,Carolyn Adel,F,17.0,163.0,52.0,Suriname,SUR,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 200 metres Freestyle,
903,Carolyn Adel,F,17.0,163.0,52.0,Suriname,SUR,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 400 metres Freestyle,
903,Carolyn Adel,F,17.0,163.0,52.0,Suriname,SUR,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 200 metres Individual Medley,
903,Carolyn Adel,F,17.0,163.0,52.0,Suriname,SUR,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 400 metres Individual Medley,
911,Antoine Adelisse,M,17.0,178.0,65.0,France,FRA,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Men's Slopestyle,
944,Haydy Morsy Adil,F,16.0,168.0,58.0,Egypt,EGY,2016 Summer,2016,Summer,Rio de Janeiro,Modern Pentathlon,Modern Pentathlon Women's Individual,
945,Mirza Adil,M,17.0,177.0,73.0,Sudan,SUD,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Middleweight,
968,"Margarete ""Grete"" Adler",F,16.0,,,Austria,AUT,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Women's 100 metres Freestyle,
968,"Margarete ""Grete"" Adler",F,16.0,,,Austria,AUT,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
976,Jonna Eva-Maj Adlerteg,F,17.0,153.0,38.0,Sweden,SWE,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Individual All-Around,
976,Jonna Eva-Maj Adlerteg,F,17.0,153.0,38.0,Sweden,SWE,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Floor Exercise,
976,Jonna Eva-Maj Adlerteg,F,17.0,153.0,38.0,Sweden,SWE,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Uneven Bars,
976,Jonna Eva-Maj Adlerteg,F,17.0,153.0,38.0,Sweden,SWE,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Balance Beam,
977,Erik William Adlerz,M,15.0,,,Sweden,SWE,1908 Summer,1908,Summer,London,Diving,Diving Men's Platform,
978,Mrta Elvira Adlerz (-Hermansson),F,15.0,,,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Diving,Diving Women's Plain High,
1003,Lena Annika Adomat,F,16.0,162.0,56.0,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Individual All-Around,
1003,Lena Annika Adomat,F,16.0,162.0,56.0,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Floor Exercise,
1003,Lena Annika Adomat,F,16.0,162.0,56.0,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Horse Vault,
1003,Lena Annika Adomat,F,16.0,162.0,56.0,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Uneven Bars,
1003,Lena Annika Adomat,F,16.0,162.0,56.0,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Balance Beam,
1071,Kseniya Dmitriyevna Afanasyeva,F,16.0,158.0,48.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,
1071,Kseniya Dmitriyevna Afanasyeva,F,16.0,158.0,48.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Team All-Around,
1071,Kseniya Dmitriyevna Afanasyeva,F,16.0,158.0,48.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Floor Exercise,
1071,Kseniya Dmitriyevna Afanasyeva,F,16.0,158.0,48.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Uneven Bars,
1071,Kseniya Dmitriyevna Afanasyeva,F,16.0,158.0,48.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Balance Beam,
1087,Evelina Afoa,F,17.0,162.0,60.0,Samoa,SAM,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Backstroke,
1109,Lavinia Agache (-Carney),F,16.0,148.0,40.0,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Individual All-Around,
1109,Lavinia Agache (-Carney),F,16.0,148.0,40.0,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Team All-Around,Gold
1109,Lavinia Agache (-Carney),F,16.0,148.0,40.0,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Floor Exercise,
1109,Lavinia Agache (-Carney),F,16.0,148.0,40.0,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Horse Vault,Bronze
1109,Lavinia Agache (-Carney),F,16.0,148.0,40.0,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Uneven Bars,
1109,Lavinia Agache (-Carney),F,16.0,148.0,40.0,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Balance Beam,
1112,Alphonsine Agahozo,F,16.0,160.0,50.0,Rwanda,RWA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 50 metres Freestyle,
1157,Olivr gh,M,17.0,187.0,78.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 100 metres Backstroke,
1157,Olivr gh,M,17.0,187.0,78.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 200 metres Backstroke,
1161,Emanoul B. Aghasi (Agassian-),M,17.0,,,Iran,IRI,1948 Summer,1948,Summer,London,Boxing,Boxing Men's Bantamweight,
1174,Robert David Garrick Agnew,M,17.0,,,Australia,AUS,1948 Summer,1948,Summer,London,Swimming,Swimming Men's 400 metres Freestyle,
1174,Robert David Garrick Agnew,M,17.0,,,Australia,AUS,1948 Summer,1948,Summer,London,Swimming,"Swimming Men's 1,500 metres Freestyle",
1225,Joo Paquete Aguiar,M,17.0,,,Angola,ANG,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 50 metres Freestyle,
1252,Luis Enrique Aguilar Brenes,M,16.0,179.0,71.0,Costa Rica,CRC,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 100 metres Freestyle,
1290,Marcelo Vctor Aguirre,M,15.0,174.0,66.0,Paraguay,PAR,2008 Summer,2008,Summer,Beijing,Table Tennis,Table Tennis Men's Singles,
1304,Gurn Fema gstsdttir,F,17.0,166.0,56.0,Iceland,ISL,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Breaststroke,
1304,Gurn Fema gstsdttir,F,17.0,166.0,56.0,Iceland,ISL,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 200 metres Breaststroke,
1392,Esraa Ahmed El-Sayed,F,17.0,150.0,63.0,Egypt,EGY,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Women's Middleweight,
1435,Janne Petteri Ahonen,M,16.0,184.0,66.0,Finland,FIN,1994 Winter,1994,Winter,Lillehammer,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",
1435,Janne Petteri Ahonen,M,16.0,184.0,66.0,Finland,FIN,1994 Winter,1994,Winter,Lillehammer,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",
1435,Janne Petteri Ahonen,M,16.0,184.0,66.0,Finland,FIN,1994 Winter,1994,Winter,Lillehammer,Ski Jumping,"Ski Jumping Men's Large Hill, Team",
1449,Thomas Ahrens,M,16.0,163.0,50.0,Germany,GER,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Eights,Silver
1464,Ai Yanhan,F,14.0,168.0,54.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Freestyle,
1464,Ai Yanhan,F,14.0,168.0,54.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,
1528,Brahim Ait Sibrahim,M,17.0,,,Morocco,MAR,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing,Alpine Skiing Men's Giant Slalom,
1528,Brahim Ait Sibrahim,M,17.0,,,Morocco,MAR,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing,Alpine Skiing Men's Slalom,
1541,Yakubu Aiyegbeni,M,17.0,170.0,79.0,Nigeria,NGR,2000 Summer,2000,Summer,Sydney,Football,Football Men's Football,
1546,Eirini Andili,F,17.0,167.0,45.0,Greece,GRE,2000 Summer,2000,Summer,Sydney,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze
1550,Irene Ajambo,F,17.0,163.0,69.0,Uganda,UGA,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Women's Light-Heavyweight,
1568,William Michael Jeffrey Akabi-Davis,M,17.0,187.0,58.0,Sierra Leone,SLE,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 400 metres,
1568,William Michael Jeffrey Akabi-Davis,M,17.0,187.0,58.0,Sierra Leone,SLE,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 100 metres Relay,
1568,William Michael Jeffrey Akabi-Davis,M,17.0,187.0,58.0,Sierra Leone,SLE,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay,
1656,Sofia Akhmeteli,F,16.0,163.0,59.0,Georgia,GEO,1998 Winter,1998,Winter,Nagano,Alpine Skiing,Alpine Skiing Women's Slalom,
1661,Doli Akhtar,F,14.0,158.0,53.0,Bangladesh,BAN,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 100 metres Breaststroke,
1667,Mirabella Viliamivna Akhunu,F,17.0,159.0,50.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Individual All-Around,
1667,Mirabella Viliamivna Akhunu,F,17.0,159.0,50.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Team All-Around,
1667,Mirabella Viliamivna Akhunu,F,17.0,159.0,50.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Floor Exercise,
1667,Mirabella Viliamivna Akhunu,F,17.0,159.0,50.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Horse Vault,
1667,Mirabella Viliamivna Akhunu,F,17.0,159.0,50.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Uneven Bars,
1667,Mirabella Viliamivna Akhunu,F,17.0,159.0,50.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Balance Beam,
1742,Irina Anatolyevna Aksyonova,F,17.0,174.0,62.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 200 metres Freestyle,
1742,Irina Anatolyevna Aksyonova,F,17.0,174.0,62.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 400 metres Freestyle,
1742,Irina Anatolyevna Aksyonova,F,17.0,174.0,62.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 800 metres Freestyle,
1742,Irina Anatolyevna Aksyonova,F,17.0,174.0,62.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
1745,Mohammad Aktar,M,17.0,156.0,48.0,Afghanistan,AFG,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",
1805,Kamal Ibrahim Al-Athari,M,17.0,176.0,63.0,Kuwait,KUW,1976 Summer,1976,Summer,Montreal,Judo,Judo Men's Lightweight,
1812,Khaled Anwar Al-Awadhi,M,15.0,170.0,61.0,Kuwait,KUW,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Men's Foil, Individual",
1812,Khaled Anwar Al-Awadhi,M,15.0,170.0,61.0,Kuwait,KUW,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Men's Foil, Team",
1815,Khodor Munir Al-Aywan,M,15.0,165.0,67.0,Lebanon,LIB,1988 Summer,1988,Summer,Seoul,Weightlifting,Weightlifting Men's Flyweight,
1816,Mohamed Amin Al-Aywan,M,17.0,168.0,67.0,Lebanon,LIB,1988 Summer,1988,Summer,Seoul,Weightlifting,Weightlifting Men's Lightweight,
1819,Bilal Said Mabrouk Al-Azma,M,17.0,171.0,68.0,Saudi Arabia,KSA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,
1819,Bilal Said Mabrouk Al-Azma,M,17.0,171.0,68.0,Saudi Arabia,KSA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Long Jump,
1820,Mohanad Ahmed Dheyaa Al-Azzawi,M,15.0,173.0,65.0,Iraq,IRQ,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Butterfly,
1825,Ali Mohamed Al-Balooshi,M,17.0,180.0,60.0,United Arab Emirates,UAE,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 800 metres,
1842,Sameera Zayid Al-Bitar,F,14.0,168.0,64.0,Bahrain,BRN,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 50 metres Freestyle,
1851,Ebrahim Al-Cattan,M,16.0,170.0,58.0,Kuwait,KUW,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Men's epee, Team",
1862,Khuwaiter Al-Dhaheri,M,17.0,,,United Arab Emirates,UAE,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Freestyle,
1869,Medhadi Al-Dosari,M,16.0,160.0,,Saudi Arabia,KSA,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Men's Road Race, Individual",
1869,Medhadi Al-Dosari,M,16.0,160.0,,Saudi Arabia,KSA,1992 Summer,1992,Summer,Barcelona,Cycling,Cycling Men's 100 kilometres Team Time Trial,
1903,Sara Abdulrahman Al-Flaij,F,16.0,170.0,72.0,Bahrain,BRN,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 50 metres Freestyle,
1921,Mohammed bin Naseeb Al-Habsi,M,16.0,180.0,60.0,Oman,OMA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Breaststroke,
1928,Mansour Soud Al-Hamad,M,17.0,,,Saudi Arabia,KSA,1984 Summer,1984,Summer,Los Angeles,Archery,Archery Men's Individual,
1931,Mohamed Al-Hamar,M,17.0,175.0,70.0,Kuwait,KUW,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's epee, Individual",
1931,Mohamed Al-Hamar,M,17.0,175.0,70.0,Kuwait,KUW,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's epee, Team",
1937,Anwar Al-Harazi,M,15.0,170.0,69.0,North Yemen,YAR,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Men's 5,000 metres",
1943,Dalal Masfir Al-Harith,F,16.0,160.0,55.0,Qatar,QAT,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres,
1956,Mariam Mohamed Hadj Al-Hilli,F,16.0,,45.0,Bahrain,BRN,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 100 metres,
1962,Salah Al-Humaidi,M,17.0,,,Yemen,YEM,1992 Summer,1992,Summer,Barcelona,Judo,Judo Men's Extra-Lightweight,
2008,Noah Abdalaziz Al-Khulaifi,M,17.0,190.0,86.0,Qatar,QAT,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Backstroke,
2009,Osama Nassir Al-Khurafi,M,17.0,180.0,75.0,Kuwait,KUW,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Men's epee, Individual",
2009,Osama Nassir Al-Khurafi,M,17.0,180.0,75.0,Kuwait,KUW,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Men's epee, Team",
2012,Khalid Al-Kulaibi,M,14.0,170.0,63.0,Oman,OMA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 50 metres Freestyle,
2020,Faisal Al-Mahmeed,M,16.0,180.0,72.0,Kuwait,KUW,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Backstroke,
2021,Fatema Abdul Muhsin Al-Mahmeed,F,17.0,167.0,60.0,Bahrain,BRN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 50 metres Freestyle,
2030,Noor Hussain Al-Malki,F,17.0,155.0,43.0,Qatar,QAT,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 100 metres,
2032,Mohamed Ali Al-Malky,M,17.0,173.0,65.0,Saudi Arabia,KSA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,
2038,Rand Saad Mahmood Al-Mashhadani,F,17.0,160.0,50.0,Iraq,IRQ,2012 Summer,2012,Summer,London,Archery,Archery Women's Individual,
2067,Kifah Sadiq Al-Mutawa,M,17.0,185.0,75.0,Kuwait,KUW,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Men's Foil, Individual",
2067,Kifah Sadiq Al-Mutawa,M,17.0,185.0,75.0,Kuwait,KUW,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Men's Foil, Team",
2067,Kifah Sadiq Al-Mutawa,M,17.0,185.0,75.0,Kuwait,KUW,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Men's epee, Team",
2073,Danah Al-Nasrallah,F,16.0,149.0,45.0,Kuwait,KUW,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 100 metres,
2077,Akram Abdullah Al-Noor,M,16.0,160.0,54.0,Yemen,YEM,2004 Summer,2004,Summer,Athina,Taekwondo,Taekwondo Men's Flyweight,
2116,Obaid Al-Rumaithi,M,16.0,179.0,60.0,United Arab Emirates,UAE,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 100 metres Breaststroke,
